kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
random,8192,20260922,0,merge,0.594500000,12,96095,212992,131072,1,16
random,8192,20260922,0,heap,0.310950000,20,187791,297762,16,0,16
random,8192,20260922,0,insertion,11.526000000,1,16724019,16724021,16,1,16
random,8192,20260922,1,heap,0.294850000,20,187791,297762,16,0,16
random,8192,20260922,1,insertion,11.717000000,1,16724019,16724021,16,1,16
random,8192,20260922,1,merge,0.541500000,12,96095,212992,131072,1,16
random,8192,20260922,2,insertion,12.463000000,1,16724019,16724021,16,1,16
random,8192,20260922,2,merge,0.486166667,12,96095,212992,131072,1,16
random,8192,20260922,2,heap,0.294550000,20,187791,297762,16,0,16
random,8192,20260923,0,heap,0.268666667,18,187814,297771,16,0,16
random,8192,20260923,0,insertion,10.681000000,1,16930928,16930926,16,1,16
random,8192,20260923,0,merge,0.478545455,11,96281,212992,131072,1,16
random,8192,20260923,1,insertion,10.763000000,1,16930928,16930926,16,1,16
random,8192,20260923,1,merge,0.488272727,11,96281,212992,131072,1,16
random,8192,20260923,1,heap,0.265388889,18,187814,297771,16,0,16
random,8192,20260923,2,merge,0.591454545,11,96281,212992,131072,1,16
random,8192,20260923,2,heap,0.268444444,18,187814,297771,16,0,16
random,8192,20260923,2,insertion,11.060000000,1,16930928,16930926,16,1,16
random,8192,20260924,0,insertion,12.107000000,1,16519564,16519566,16,1,16
random,8192,20260924,0,merge,0.468454545,11,96158,212992,131072,1,16
random,8192,20260924,0,heap,0.332947368,19,187661,297663,16,0,16
random,8192,20260924,1,merge,0.502272727,11,96158,212992,131072,1,16
random,8192,20260924,1,heap,0.340684211,19,187661,297663,16,0,16
random,8192,20260924,1,insertion,10.433000000,1,16519564,16519566,16,1,16
random,8192,20260924,2,heap,0.277894737,19,187661,297663,16,0,16
random,8192,20260924,2,insertion,10.949000000,1,16519564,16519566,16,1,16
random,8192,20260924,2,merge,0.464727273,11,96158,212992,131072,1,16
random,16384,20260922,0,merge,0.973666667,6,208575,458752,262144,1,16
random,16384,20260922,0,heap,0.599000000,9,408325,644406,16,0,16
random,16384,20260922,0,insertion,41.939000000,1,67332865,67332867,16,1,16
random,16384,20260922,1,heap,0.601777778,9,408325,644406,16,0,16
random,16384,20260922,1,insertion,41.743000000,1,67332865,67332867,16,1,16
random,16384,20260922,1,merge,0.959666667,6,208575,458752,262144,1,16
random,16384,20260922,2,insertion,41.553000000,1,67332865,67332867,16,1,16
random,16384,20260922,2,merge,0.971333333,6,208575,458752,262144,1,16
random,16384,20260922,2,heap,0.588000000,9,408325,644406,16,0,16
random,16384,20260923,0,heap,0.596333333,9,408229,644454,16,0,16
random,16384,20260923,0,insertion,41.121000000,1,66925806,66925803,16,1,16
random,16384,20260923,0,merge,0.951333333,6,208740,458752,262144,1,16
random,16384,20260923,1,insertion,41.204000000,1,66925806,66925803,16,1,16
random,16384,20260923,1,merge,0.944333333,6,208740,458752,262144,1,16
random,16384,20260923,1,heap,0.591333333,9,408229,644454,16,0,16
random,16384,20260923,2,merge,0.936333333,6,208740,458752,262144,1,16
random,16384,20260923,2,heap,0.571777778,9,408229,644454,16,0,16
random,16384,20260923,2,insertion,40.773000000,1,66925806,66925803,16,1,16
random,16384,20260924,0,insertion,40.782000000,1,66920081,66920084,16,1,16
random,16384,20260924,0,merge,0.948200000,5,208633,458752,262144,1,16
random,16384,20260924,0,heap,0.573777778,9,408125,644391,16,0,16
random,16384,20260924,1,merge,0.942000000,5,208633,458752,262144,1,16
random,16384,20260924,1,heap,0.591222222,9,408125,644391,16,0,16
random,16384,20260924,1,insertion,40.724000000,1,66920081,66920084,16,1,16
random,16384,20260924,2,heap,0.575222222,9,408125,644391,16,0,16
random,16384,20260924,2,insertion,40.689000000,1,66920081,66920084,16,1,16
random,16384,20260924,2,merge,0.932000000,5,208633,458752,262144,1,16
random,32768,20260922,0,merge,2.114000000,3,450042,983040,524288,1,16
random,32768,20260922,0,heap,1.374000000,4,881824,1387080,16,0,16
random,32768,20260922,0,insertion,165.492000000,1,267703757,267703759,16,1,16
random,32768,20260922,1,heap,1.404500000,4,881824,1387080,16,0,16
random,32768,20260922,1,insertion,172.982000000,1,267703757,267703759,16,1,16
random,32768,20260922,1,merge,2.287666667,3,450042,983040,524288,1,16
random,32768,20260922,2,insertion,181.370000000,1,267703757,267703759,16,1,16
random,32768,20260922,2,merge,2.358000000,3,450042,983040,524288,1,16
random,32768,20260922,2,heap,1.437500000,4,881824,1387080,16,0,16
random,32768,20260923,0,heap,1.398500000,4,881790,1386843,16,0,16
random,32768,20260923,0,insertion,178.288000000,1,268965949,268965946,16,1,16
random,32768,20260923,0,merge,2.273666667,3,450191,983040,524288,1,16
random,32768,20260923,1,insertion,187.427000000,1,268965949,268965946,16,1,16
random,32768,20260923,1,merge,2.307333333,3,450191,983040,524288,1,16
random,32768,20260923,1,heap,1.646750000,4,881790,1386843,16,0,16
random,32768,20260923,2,merge,2.673666667,3,450191,983040,524288,1,16
random,32768,20260923,2,heap,1.573250000,4,881790,1386843,16,0,16
