kind,n,algo,median_ms,q1_ms,q3_ms,samples,compares,moves,buffer_bytes
random,8192,merge,0.488272727,0.478545455,0.5415,9,96158,212992,131072
random,8192,heap,0.29455,0.268666667,0.31095,9,187791,297762,16
random,8192,insertion,11.06,10.763,11.717,9,16724019,16724021,16
random,16384,merge,0.9482,0.942,0.959666667,9,208633,458752,262144
random,16384,heap,0.591222222,0.575222222,0.596333333,9,408229,644406,16
random,16384,insertion,41.121,40.773,41.553,9,66925806,66925803,16
random,32768,merge,2.287666667,2.253,2.31,9,450042,983040,524288
random,32768,heap,1.44575,1.4045,1.59625,9,881824,1386843,16
random,32768,insertion,178.288,174.47,182.64,9,268150589,268150590,16
random,65536,merge,4.6175,4.427,4.669,9,965782,2097152,1048576
random,65536,heap,3.2735,3.1615,3.4035,9,1895094,2970486,16
random,65536,insertion,660.994,655.339,679.162,9,1076070715,1076070714,16
random,131072,heap,7.047,6.963,7.35,9,4051981,6334047,16
random,131072,merge,9.486,9.283,9.767,9,2062657,4456448,2097152
random,262144,heap,15.556,15.465,15.859,9,8627984,13454478,16
random,262144,merge,19.716,19.667,19.826,9,4387365,9437184,4194304
random,524288,heap,35.83,35.664,37.164,9,18304835,28482969,16
random,524288,merge,41.833,41.728,42.336,9,9298778,19922944,8388608
random,1048576,heap,94.016,91.28,103.56,9,38705836,60105669,16
random,1048576,merge,90.334,89.109,91.523,9,19646022,41943040,16777216
