kind,n,algo,median_ms,q1_ms,q3_ms,samples,compares,moves,buffer_bytes
random,256,merge,0.003905495,0.003777599,0.0042245505,15,1730,4096,4096
random,256,heap,0.004211031,0.0040028995000000005,0.0045971225,15,3296,5415,16
random,256,insertion,0.012109091,0.0120336695,0.012657376500000001,15,17339,17341,16
sorted,256,merge,0.002759392,0.002735453,0.0028257395,15,1024,4096,4096
sorted,256,heap,0.004032774,0.0039952040000000005,0.0041454835,15,3452,5916,16
sorted,256,insertion,0.000163535,0.000157959,0.000177729,15,255,0,16
reversed,256,merge,0.002710258,0.002678863,0.0027597215000000003,15,1024,4096,4096
reversed,256,heap,0.003395921,0.003353055,0.0034865525,15,3106,4926,16
reversed,256,insertion,0.021251046,0.020934,0.0215,15,32895,33150,16
few_unique,256,merge,0.00379393,0.0036709265000000003,0.0038945685,15,1693,4096,4096
few_unique,256,heap,0.003425659,0.0033465,0.003461723,15,3109,4887,16
few_unique,256,insertion,0.010334066,0.010189,0.010787999999999999,15,15052,15016,16
nearly_sorted,256,merge,0.002906419,0.00285003,0.0029776079999999996,15,1025,4096,4096
nearly_sorted,256,heap,0.004088729,0.0040335735,0.0041634689999999995,15,3449,5910,16
nearly_sorted,256,insertion,0.000186279,0.000176344,0.0001957835,15,259,6,16
random,512,merge,0.01069697,0.0100133575,0.010798844,15,3977,9216,8192
random,512,heap,0.009028,0.008813584499999999,0.0093633095,15,7629,12471,16
random,512,insertion,0.042491667,0.041668202,0.0427041665,15,66066,66065,16
sorted,512,merge,0.006058753,0.005906475,0.0060821345,15,2304,9216,8192
sorted,512,heap,0.008746,0.0086636405,0.0089,15,7958,13392,16
sorted,512,insertion,0.000320068,0.00031420899999999997,0.0003240965,15,511,0,16
reversed,512,merge,0.005868106,0.005831452,0.006028177500000001,15,2304,9216,8192
reversed,512,heap,0.007894569,0.007816294000000001,0.0079766295,15,7203,11316,16
reversed,512,insertion,0.081015385,0.08019370649999999,0.08220192300000001,15,131327,131838,16
few_unique,512,merge,0.008623003,0.008467877,0.008939944500000001,15,3824,9216,8192
few_unique,512,heap,0.007589928,0.0074643695,0.0077170265,15,7046,11043,16
few_unique,512,insertion,0.037654412,0.036886823,0.039776,15,57470,57406,16
nearly_sorted,512,merge,0.005998601,0.0059405594999999995,0.0061916085,15,2307,9216,8192
nearly_sorted,512,heap,0.008848352,0.008736,0.009044978,15,7957,13389,16
nearly_sorted,512,insertion,0.000364502,0.0003514405,0.0003707275,15,521,15,16
random,1024,merge,0.032409836,0.031673429,0.033115164,15,8974,20480,16384
random,1024,heap,0.02149711,0.021176300500000002,0.022184595,15,17334,28017,16
random,1024,insertion,0.1616875,0.1594947915,0.16443636350000002,15,261416,261416,16
sorted,1024,merge,0.012955307,0.012597584,0.0132695605,15,5120,20480,16384
sorted,1024,heap,0.01954,0.0192530935,0.019821121,15,18060,29904,16
sorted,1024,insertion,0.000614258,0.0006130370000000001,0.0006414795,15,1023,0,16
reversed,1024,merge,0.012633766,0.012486527,0.0128643275,15,5120,20480,16384
reversed,1024,heap,0.017530303,0.017283152500000003,0.018076991,15,16407,25626,16
reversed,1024,insertion,0.324,0.3184625,0.32818749999999997,15,524799,525822,16
few_unique,1024,merge,0.022,0.0212292515,0.02265375,15,8641,20480,16384
few_unique,1024,heap,0.018270642,0.0179747705,0.018947544,15,15834,24657,16
few_unique,1024,insertion,0.147111111,0.14461627,0.14918055549999998,15,233885,233758,16
nearly_sorted,1024,merge,0.013231169,0.012967383499999999,0.0133165035,15,5126,20480,16384
nearly_sorted,1024,heap,0.0198,0.019342084,0.0204843345,15,18047,29856,16
nearly_sorted,1024,insertion,0.000708984,0.000698486,0.0007332759999999999,15,1043,30,16
random,2048,merge,0.084906977,0.082681094,0.0860199335,15,19942,45056,32768
random,2048,heap,0.049884211,0.048984597500000004,0.050373684,15,38767,62151,16
random,2048,insertion,0.6455,0.6353680555,0.656277778,15,1051151,1051151,16
sorted,2048,merge,0.027806452,0.0272877095,0.0282258065,15,11264,45056,32768
sorted,2048,heap,0.044205357,0.043847329000000004,0.045192735,15,40204,65592,16
sorted,2048,insertion,0.00122998,0.00121167,0.001267334,15,2047,0,16
reversed,2048,merge,0.02722905,0.026868715,0.0280386925,15,11264,45056,32768
reversed,2048,heap,0.040352459,0.039255464500000004,0.040547454499999996,15,36973,57762,16
reversed,2048,insertion,1.2745,1.252875,1.3014999999999999,15,2098175,2100222,16
few_unique,2048,merge,0.052353659,0.051598018499999995,0.054113889,15,19187,45056,32768
few_unique,2048,heap,0.042695238,0.041578359,0.043555304,15,35109,54609,16
few_unique,2048,insertion,0.555555556,0.5473333335,0.5666333335,15,923883,923625,16
nearly_sorted,2048,merge,0.027495726,0.026905087,0.028147612500000002,15,11275,45056,32768
nearly_sorted,2048,heap,0.046508772,0.045648632,0.047082005499999996,15,40267,65808,16
nearly_sorted,2048,insertion,0.001411621,0.0013896485,0.001482666,15,2087,60,16
random,4096,merge,0.19576,0.19058,0.1985,15,43984,98304,65536
