kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
random,8192,20260922,0,merge,0.611250000,8,96095,212992,131072,1,16
random,8192,20260922,0,heap,0.334769231,13,187791,297762,16,0,16
random,8192,20260922,0,insertion,12.673000000,1,16724019,16724021,16,1,16
random,8192,20260922,1,heap,0.303307692,13,187791,297762,16,0,16
random,8192,20260922,1,insertion,11.321000000,1,16724019,16724021,16,1,16
random,8192,20260922,1,merge,0.479375000,8,96095,212992,131072,1,16
random,8192,20260922,2,insertion,10.371000000,1,16724019,16724021,16,1,16
random,8192,20260922,2,merge,0.450875000,8,96095,212992,131072,1,16
random,8192,20260922,2,heap,0.255230769,13,187791,297762,16,0,16
random,8192,20260923,0,heap,0.241095238,21,187814,297771,16,0,16
random,8192,20260923,0,insertion,10.253000000,1,16930928,16930926,16,1,16
random,8192,20260923,0,merge,0.429083333,12,96281,212992,131072,1,16
random,8192,20260923,1,insertion,10.134000000,1,16930928,16930926,16,1,16
random,8192,20260923,1,merge,0.432250000,12,96281,212992,131072,1,16
random,8192,20260923,1,heap,0.248714286,21,187814,297771,16,0,16
random,8192,20260923,2,merge,0.433500000,12,96281,212992,131072,1,16
random,8192,20260923,2,heap,0.239428571,21,187814,297771,16,0,16
random,8192,20260923,2,insertion,10.061000000,1,16930928,16930926,16,1,16
random,8192,20260924,0,insertion,10.270000000,1,16519564,16519566,16,1,16
random,8192,20260924,0,merge,0.445166667,12,96158,212992,131072,1,16
random,8192,20260924,0,heap,0.240842105,19,187661,297663,16,0,16
random,8192,20260924,1,merge,0.452666667,12,96158,212992,131072,1,16
random,8192,20260924,1,heap,0.240789474,19,187661,297663,16,0,16
random,8192,20260924,1,insertion,9.756000000,1,16519564,16519566,16,1,16
random,8192,20260924,2,heap,0.246684211,19,187661,297663,16,0,16
random,8192,20260924,2,insertion,9.630000000,1,16519564,16519566,16,1,16
random,8192,20260924,2,merge,0.451583333,12,96158,212992,131072,1,16
random,16384,20260922,0,merge,0.952000000,6,208575,458752,262144,1,16
random,16384,20260922,0,heap,0.591111111,9,408325,644406,16,0,16
random,16384,20260922,0,insertion,40.369000000,1,67332865,67332867,16,1,16
random,16384,20260922,1,heap,0.587777778,9,408325,644406,16,0,16
random,16384,20260922,1,insertion,40.402000000,1,67332865,67332867,16,1,16
random,16384,20260922,1,merge,0.939500000,6,208575,458752,262144,1,16
random,16384,20260922,2,insertion,40.129000000,1,67332865,67332867,16,1,16
random,16384,20260922,2,merge,0.927833333,6,208575,458752,262144,1,16
random,16384,20260922,2,heap,0.567888889,9,408325,644406,16,0,16
random,16384,20260923,0,heap,0.558333333,9,408229,644454,16,0,16
random,16384,20260923,0,insertion,40.374000000,1,66925806,66925803,16,1,16
random,16384,20260923,0,merge,0.982000000,6,208740,458752,262144,1,16
random,16384,20260923,1,insertion,40.011000000,1,66925806,66925803,16,1,16
random,16384,20260923,1,merge,0.971166667,6,208740,458752,262144,1,16
random,16384,20260923,1,heap,0.563111111,9,408229,644454,16,0,16
random,16384,20260923,2,merge,0.931833333,6,208740,458752,262144,1,16
random,16384,20260923,2,heap,0.585777778,9,408229,644454,16,0,16
random,16384,20260923,2,insertion,40.169000000,1,66925806,66925803,16,1,16
random,16384,20260924,0,insertion,40.777000000,1,66920081,66920084,16,1,16
random,16384,20260924,0,merge,0.955166667,6,208633,458752,262144,1,16
random,16384,20260924,0,heap,0.571111111,9,408125,644391,16,0,16
random,16384,20260924,1,merge,0.957000000,6,208633,458752,262144,1,16
random,16384,20260924,1,heap,0.557333333,9,408125,644391,16,0,16
random,16384,20260924,1,insertion,39.815000000,1,66920081,66920084,16,1,16
random,16384,20260924,2,heap,0.576555556,9,408125,644391,16,0,16
random,16384,20260924,2,insertion,40.397000000,1,66920081,66920084,16,1,16
random,16384,20260924,2,merge,0.967500000,6,208633,458752,262144,1,16
random,32768,20260922,0,merge,2.028000000,3,450042,983040,524288,1,16
random,32768,20260922,0,heap,1.346000000,4,881824,1387080,16,0,16
random,32768,20260922,0,insertion,160.432000000,1,267703757,267703759,16,1,16
random,32768,20260922,1,heap,1.373500000,4,881824,1387080,16,0,16
random,32768,20260922,1,insertion,160.280000000,1,267703757,267703759,16,1,16
random,32768,20260922,1,merge,2.109333333,3,450042,983040,524288,1,16
random,32768,20260922,2,insertion,159.220000000,1,267703757,267703759,16,1,16
random,32768,20260922,2,merge,2.094333333,3,450042,983040,524288,1,16
random,32768,20260922,2,heap,1.300500000,4,881824,1387080,16,0,16
random,32768,20260923,0,heap,1.323250000,4,881790,1386843,16,0,16
random,32768,20260923,0,insertion,162.114000000,1,268965949,268965946,16,1,16
random,32768,20260923,0,merge,2.002000000,3,450191,983040,524288,1,16
random,32768,20260923,1,insertion,160.970000000,1,268965949,268965946,16,1,16
random,32768,20260923,1,merge,1.999333333,3,450191,983040,524288,1,16
random,32768,20260923,1,heap,1.293500000,4,881790,1386843,16,0,16
random,32768,20260923,2,merge,2.043000000,3,450191,983040,524288,1,16
random,32768,20260923,2,heap,1.289250000,4,881790,1386843,16,0,16
random,32768,20260923,2,insertion,161.176000000,1,268965949,268965946,16,1,16
random,32768,20260924,0,insertion,160.317000000,1,268150589,268150590,16,1,16
random,32768,20260924,0,merge,2.152333333,3,450028,983040,524288,1,16
random,32768,20260924,0,heap,1.307500000,4,881957,1386762,16,0,16
random,32768,20260924,1,merge,2.008666667,3,450028,983040,524288,1,16
random,32768,20260924,1,heap,1.362750000,4,881957,1386762,16,0,16
random,32768,20260924,1,insertion,160.813000000,1,268150589,268150590,16,1,16
random,32768,20260924,2,heap,1.359500000,4,881957,1386762,16,0,16
random,32768,20260924,2,insertion,159.857000000,1,268150589,268150590,16,1,16
random,32768,20260924,2,merge,2.108333333,3,450028,983040,524288,1,16
random,65536,20260922,0,merge,4.407000000,2,965782,2097152,1048576,1,16
random,65536,20260922,0,heap,3.080000000,2,1895421,2971275,16,0,16
random,65536,20260922,0,insertion,672.197000000,1,1079260341,1079260346,16,1,16
random,65536,20260922,1,heap,3.228500000,2,1895421,2971275,16,0,16
random,65536,20260922,1,insertion,651.158000000,1,1079260341,1079260346,16,1,16
random,65536,20260922,1,merge,4.421500000,2,965782,2097152,1048576,1,16
random,65536,20260922,2,insertion,647.753000000,1,1079260341,1079260346,16,1,16
random,65536,20260922,2,merge,4.411000000,2,965782,2097152,1048576,1,16
random,65536,20260922,2,heap,3.124000000,2,1895421,2971275,16,0,16
random,65536,20260923,0,heap,3.156500000,2,1894724,2970285,16,0,16
