kind,n,algo,median_ms,q1_ms,q3_ms,samples,compares,moves,buffer_bytes
random,8192,merge,0.450875,0.4335,0.452666667,9,96158,212992,131072
random,8192,heap,0.246684211,0.240842105,0.255230769,9,187791,297762,16
random,8192,insertion,10.253,10.061,10.371,9,16724019,16724021,16
random,16384,merge,0.955166667,0.9395,0.9675,9,208633,458752,262144
random,16384,heap,0.571111111,0.563111111,0.585777778,9,408229,644406,16
random,16384,insertion,40.369,40.129,40.397,9,66925806,66925803,16
random,32768,merge,2.043,2.008666667,2.108333333,9,450042,983040,524288
random,32768,heap,1.32325,1.3005,1.3595,9,881824,1386843,16
random,32768,insertion,160.432,160.28,160.97,9,268150589,268150590,16
random,65536,merge,4.465,4.411,4.591,9,965782,2097152,1048576
random,65536,heap,3.124,3.08,3.1565,9,1895094,2970486,16
random,65536,insertion,659.347,651.158,662.219,9,1076070715,1076070714,16
random,131072,merge,9.581,9.528,9.614,9,2062657,4456448,2097152
random,131072,heap,6.876,6.84,6.895,9,4051981,6334047,16
random,131072,insertion,2602.021,2594.366,2611.929,9,4301667599,4301667605,16
random,262144,merge,20.349,20.272,20.436,9,4387365,9437184,4194304
random,262144,heap,15.508,15.442,15.688,9,8627984,13454478,16
random,262144,insertion,10382.33,10356.767,10403.554,9,17197760667,17197760673,16
random,524288,merge,42.397,42.225,42.597,9,9298778,19922944,8388608
random,524288,heap,34.045,33.91,34.229,9,18304835,28482969,16
random,524288,insertion,42049.368,42015.2,42459.076,9,68715713527,68715713528,16
random,1048576,merge,92.326,90.688,93.033,9,19646022,41943040,16777216
random,1048576,heap,87.713,80.525,92.79,9,38705836,60105669,16
random,1048576,insertion,176528.763,176101.121,178222.935,9,275070919157,275070919164,16
