kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
random,256,20260922,0,merge,0.005871257,334,1714,4096,4096,1,16
random,256,20260922,0,heap,0.005825540,556,3319,5466,16,1,16
random,256,20260922,0,insertion,0.015984000,250,16138,16140,16,1,16
random,256,20260922,1,heap,0.005467626,556,3319,5466,16,1,16
random,256,20260922,1,insertion,0.014676000,250,16138,16140,16,1,16
random,256,20260922,1,merge,0.004853293,334,1714,4096,4096,1,16
random,256,20260922,2,insertion,0.013496000,250,16138,16140,16,1,16
random,256,20260922,2,merge,0.004601796,334,1714,4096,4096,1,16
random,256,20260922,2,heap,0.005086331,556,3319,5466,16,1,16
random,256,20260922,3,merge,0.004338323,334,1714,4096,4096,1,16
random,256,20260922,3,heap,0.004726619,556,3319,5466,16,1,16
random,256,20260922,3,insertion,0.012468000,250,16138,16140,16,1,16
random,256,20260922,4,heap,0.004467626,556,3319,5466,16,1,16
random,256,20260922,4,insertion,0.011952000,250,16138,16140,16,1,16
random,256,20260922,4,merge,0.004110778,334,1714,4096,4096,1,16
random,256,20260923,0,heap,0.004325874,715,3296,5415,16,1,16
random,256,20260923,0,insertion,0.012846753,385,17598,17597,16,1,16
random,256,20260923,0,merge,0.003905495,455,1736,4096,4096,1,16
random,256,20260923,1,insertion,0.012168831,385,17598,17597,16,1,16
random,256,20260923,1,merge,0.003789011,455,1736,4096,4096,1,16
random,256,20260923,1,heap,0.003979021,715,3296,5415,16,1,16
random,256,20260923,2,merge,0.003641758,455,1736,4096,4096,1,16
random,256,20260923,2,heap,0.003981818,715,3296,5415,16,1,16
random,256,20260923,2,insertion,0.011784416,385,17598,17597,16,1,16
random,256,20260923,3,heap,0.003823776,715,3296,5415,16,1,16
random,256,20260923,3,insertion,0.012109091,385,17598,17597,16,1,16
random,256,20260923,3,merge,0.003703297,455,1736,4096,4096,1,16
random,256,20260923,4,insertion,0.012033766,385,17598,17597,16,1,16
random,256,20260923,4,merge,0.003630769,455,1736,4096,4096,1,16
random,256,20260923,4,heap,0.003815385,715,3296,5415,16,1,16
random,256,20260924,0,insertion,0.011652278,417,17339,17341,16,1,16
random,256,20260924,0,merge,0.003838129,556,1730,4096,4096,1,16
random,256,20260924,0,heap,0.004211031,834,3279,5403,16,1,16
random,256,20260924,1,merge,0.003960432,556,1730,4096,4096,1,16
random,256,20260924,1,heap,0.004139089,834,3279,5403,16,1,16
random,256,20260924,1,insertion,0.012196643,417,17339,17341,16,1,16
random,256,20260924,2,heap,0.004332134,834,3279,5403,16,1,16
random,256,20260924,2,insertion,0.012033573,417,17339,17341,16,1,16
random,256,20260924,2,merge,0.003789568,556,1730,4096,4096,1,16
random,256,20260924,3,insertion,0.012062350,417,17339,17341,16,1,16
random,256,20260924,3,merge,0.003971223,556,1730,4096,4096,1,16
random,256,20260924,3,heap,0.004134293,834,3279,5403,16,1,16
random,256,20260924,4,merge,0.003766187,556,1730,4096,4096,1,16
random,256,20260924,4,heap,0.004023981,834,3279,5403,16,1,16
random,256,20260924,4,insertion,0.012071942,417,17339,17341,16,1,16
sorted,256,20260922,0,merge,0.002938212,1667,1024,4096,4096,1,16
sorted,256,20260922,0,heap,0.004017000,1000,3452,5916,16,1,16
sorted,256,20260922,0,insertion,0.000163535,2501,255,0,16,1,16
sorted,256,20260922,1,heap,0.004090000,1000,3452,5916,16,1,16
sorted,256,20260922,1,insertion,0.000177929,2501,255,0,16,1,16
sorted,256,20260922,1,merge,0.002691062,1667,1024,4096,4096,1,16
sorted,256,20260922,2,insertion,0.000160336,2501,255,0,16,1,16
sorted,256,20260922,2,merge,0.002705459,1667,1024,4096,4096,1,16
sorted,256,20260922,2,heap,0.004548000,1000,3452,5916,16,1,16
sorted,256,20260922,3,merge,0.003148170,1667,1024,4096,4096,1,16
sorted,256,20260922,3,heap,0.004629000,1000,3452,5916,16,1,16
sorted,256,20260922,3,insertion,0.000177529,2501,255,0,16,1,16
sorted,256,20260922,4,heap,0.004097000,1000,3452,5916,16,1,16
sorted,256,20260922,4,insertion,0.000182727,2501,255,0,16,1,16
sorted,256,20260922,4,merge,0.002753449,1667,1024,4096,4096,1,16
sorted,256,20260923,0,heap,0.004148681,1251,3452,5916,16,1,16
sorted,256,20260923,0,insertion,0.000206543,4096,255,0,16,1,16
sorted,256,20260923,0,merge,0.002757049,1667,1024,4096,4096,1,16
sorted,256,20260923,1,insertion,0.000171143,4096,255,0,16,1,16
sorted,256,20260923,1,merge,0.002835033,1667,1024,4096,4096,1,16
sorted,256,20260923,1,heap,0.003922462,1251,3452,5916,16,1,16
sorted,256,20260923,2,merge,0.002732454,1667,1024,4096,4096,1,16
sorted,256,20260923,2,heap,0.004016787,1251,3452,5916,16,1,16
sorted,256,20260923,2,insertion,0.000157471,4096,255,0,16,1,16
sorted,256,20260923,3,heap,0.004032774,1251,3452,5916,16,1,16
sorted,256,20260923,3,insertion,0.000164795,4096,255,0,16,1,16
sorted,256,20260923,3,merge,0.002788242,1667,1024,4096,4096,1,16
sorted,256,20260923,4,insertion,0.000157227,4096,255,0,16,1,16
sorted,256,20260923,4,merge,0.002738452,1667,1024,4096,4096,1,16
sorted,256,20260923,4,heap,0.003970424,1251,3452,5916,16,1,16
sorted,256,20260924,0,insertion,0.000163086,4096,255,0,16,1,16
sorted,256,20260924,0,merge,0.002833733,1251,1024,4096,4096,1,16
sorted,256,20260924,0,heap,0.003958433,1251,3452,5916,16,1,16
sorted,256,20260924,1,merge,0.002703437,1251,1024,4096,4096,1,16
sorted,256,20260924,1,heap,0.004201439,1251,3452,5916,16,1,16
sorted,256,20260924,1,insertion,0.000181641,4096,255,0,16,1,16
